Fecha,Gasolina regular,Gasolina superior,Diesel
Jan-21,202645.2,308156.82,634667.06
feb-21,205530.96,307766.31,642380.66
mar-21,229499.56,331910.29,699807.25
Apr-21,210680.4,315648.08,586803.98
may-21,208164.34,319667.97,656948.2
jun-21,195088.74,300347.7,570919.88
jul-21,204556.77,308305.93,576436.02
Aug-21,218388.51,323011.86,593770.77
sep-21,213906.96,326455.72,590145.4
oct-21,213606.65,323843.63,641113.36
nov-21,209227.48,320788.08,657086.3
Dec-21,230020.7,366987.56,673282.26
Jan-22,164547.35,300242.78,569328.79
feb-22,174838.81,301483.4,597749.83
mar-22,201992.65,355572.83,736085.97
Apr-22,198683.39,355826.76,606257.66
may-22,182504.09,336040.04,664082.66
jun-22,201379.48,308804.7,559333.03
jul-22,214980.24,350501.97,589452.73
Aug-22,204646.77,348414.65,568546.37
sep-22,188292.35,324393.96,533108.39
oct-22,225240.95,366261.63,603371.18
nov-22,210324.95,351890.63,626156.18
Dec-22,223209.95,403561.63,664190.18
Jan-23,200309.85,368935.53,726672.6
feb-23,183119.34,348917.79,694344.78
mar-23,212711.71,385044.97,656379.29
Apr-23,204765.62,379741.98,683646.17
may-23,201083.51,375054.64,707165.47
jun-23,187629.42,371138.59,667820.71
jul-23,201692.64,399944.65,656761.6
Aug-23,205240.77,392355.62,657099.74
sep-23,177614.8,347191.44,653664.6
oct-23,203097.24,381595.2,653053.27
nov-23,207629.81,384334.22,671401.33
Dec-23,199619.27,400645.42,676192.45
Jan-24,193713.62,376516.58,769843.3
feb-24,184354.61,355760.81,709783.58
mar-24,201443.37,361880.87,786484.49
Apr-24,219004.31,377395.17,709626.39
may-24,200407.18,390624.27,755982.05
